count,HR,DY,pas_count,avg_trip_dist,avg_trip_time
32636,23,2013-12-06,1.804663561710994,3.029195979899487,789.2214425787474
30533,18,2013-01-03,1.71296629875872,2.398813087479119,690.5839583401565
4570,1,2013-01-02,1.737199124726477,3.743203501094091,611.8833698030635
22293,12,2013-01-05,1.7389763602924684,2.4063979724577242,594.3162427667878
3799,5,2013-01-05,1.711503027112398,5.02866543827323,700.2995525138194
16225,10,2013-01-06,1.721171032357473,2.6924838212634836,528.1659167950694
23799,14,2013-01-04,1.6948611286188495,2.652753477036845,759.027942350519
23351,17,2013-01-07,1.6675088861290737,2.606457539291682,700.6866515352662
2426,4,2013-01-07,1.6183017312448476,5.021389117889532,705.8891178895301
29873,19,2013-01-08,1.652562514645332,2.5044461553911592,613.08348676062
2311,4,2013-01-08,1.6192124621376027,4.529472090004323,664.7888360017308
14419,0,2013-09-05,1.7207157223108398,3.2931826062833736,677.8526943616063
30426,0,2013-09-08,1.827384473805298,2.910434825478212,773.2077828173273
26867,1,2013-09-07,1.8213421669706331,3.056509844791013,702.921130010794
17093,21,2013-09-02,1.7412391037266717,3.472346574621187,644.4243842508629
22576,13,2013-09-06,1.6691176470588236,2.9576386428065193,840.7466335931963
6358,8,2013-09-02,1.6670336583831393,4.515597672223972,638.9185278389431
9829,0,2013-09-03,1.7258113745040187,4.7948010987892955,711.5179570658256
30722,0,2013-09-28,1.819705748323677,3.093400494759458,745.3691816939001
33113,23,2013-09-28,1.8509648778425392,2.8650883338869857,807.9675052094343
31149,18,2013-04-29,1.6746283989855213,2.5589887315804756,705.825837105525
32608,22,2013-04-11,1.7086297841020608,3.1771614327772313,688.1053422473012
23528,15,2013-04-30,1.7146803808228495,2.8511705202312068,866.623044882693
20070,16,2013-04-16,1.7236173393124066,2.7669317389138053,811.8718983557549
22638,10,2013-04-30,1.644182348263981,2.4406621609682775,805.4244632918102
27987,9,2013-04-17,1.6435487905098796,2.373465894879767,815.3698860185086
24341,14,2013-04-30,1.6883036851402982,2.812422250523808,866.8728071977322
